id	name	long	lat	area[km2] 	altitude[m]
D21A148	Aktuzla	42.28305556	39.33111111	2590	1465
D21A231	Karakaya	42.59555556	39.21	1236	1490
D21A335	Alpaslan_1 Brj	42.02972222	39.11305556	15460	1440
D21A369	Aþaðýalagöz K.-Varto	41.42361111	39.1425	280.73	1398
D21A370	Aþaðýalagöz K.-Varto	41.42166667	39.13083333	938.93	1382
E21A077	Adývar	42.16861111	39.21861111	2995.3	1452
E21A096	Sungu	41.61944444	38.75444444	1787	1259
D25A013	Payköy	43.54583333	39.1125	329.4	1992
D25A021	Gevaþ	43.12111111	38.30722222	59.2	1652
D25A037	Kapýköy	44.3125	38.5	643	2036
D25A038	Güzelkonak	42.98527778	38.31388889	105.25	1658
D25A039	Mermit Köyü	43.24277778	38.60361111	1707	1730
D25A040	Tatvan	42.34583333	38.44666667	67.2	1750
D25A042	Örenburç-Saray	44.15611111	38.45055556	78.58	2225
D25A043	Koçak Köyü	42.91388889	38.27027778	71.48	1843
D25A044	Kuskunkýran	43.87666667	39.19638889	70.9	2150
D25A045	Adilcevaz	42.75027778	38.79527778	23.13	1654
D25A051	Zernek 2 Köp.	43.76027778	38.34	939.7	1943
D25A052	Zernek 1 Köprüsü	43.75805556	38.34277778	441	1950
D25A053	Yukarý Kaymaz K.	43.38	38.30333333	7.8	1754
E25A027	Dönemeç	43.20583333	38.34361111	2533.3	1666
D26A033	Çatak	43.05972222	38.00666667	2408.54	1488
D26A034	Depin Köp.	43.77555556	37.57583333	4842	1270
D26A036	Üzümcü Köp.	43.56472222	37.48527778	5394.3	1042
D26A037	Geyman Köp.	43.52194444	37.31555556	6314.48	847
D26A044	Mezraasköyü	42.42638889	38.13805556	1264	1000
D26A051	Bahçesaray	42.79638889	38.09055556	253	1524
D26A055	Dalbastý Köp.	42.97916667	37.91666667	3069	1350
D26A056	Dilýmliköy	44.34944444	37.61083333	129.7	1928
D26A057	Boðazönü	41.77083333	38.45444444	425	1200
D26A058	Meydanönü	41.76833333	38.36388889	783	909
D26A065	Esendere	44.60416667	37.71416667	243.7	1720
D26A066	Navraza Köp.	44.55222222	37.26416667	393.83	1196
D26A075	Çukurca	43.57555556	37.26277778		779
D26A076	Yaylapýnar Köp.	44.4525	37.2225		1013
D26A088	Bitlis Mutki Meydan	41.83722222	38.40944444		915
E26A021	Musahan	44.08138889	37.75916667	2504.4	1725
E26A022	Konak	44.06027778	37.68277778	1136	1694
E26A039	Olgunlar	44.59805556	37.28055556	296	1338
